timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530499966226,15154,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-1,text,true,,43951,193,4,4,15122,0,132
1530499966225,15180,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-3,text,true,,43957,193,4,4,15139,0,132
1530499966166,15248,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-4,text,true,,43954,193,4,4,15182,0,191
1530499966225,15197,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-2,text,true,,43948,193,4,4,15144,0,132
1530499981385,12063,completarEncuestaPreInscripcion,200,OK,bzm - Concurrency Thread Group 1-1,,true,,450,685,8,8,12063,0,5
1530499981415,12033,completarEncuestaPreInscripcion,200,OK,bzm - Concurrency Thread Group 1-4,,true,,450,698,8,8,12033,0,1
1530499981407,12492,completarEncuestaPreInscripcion,200,OK,bzm - Concurrency Thread Group 1-3,,true,,450,697,8,8,12492,0,0
1530499981425,12599,completarEncuestaPreInscripcion,200,OK,bzm - Concurrency Thread Group 1-2,,true,,450,704,8,8,12599,0,1
1530499989871,21435,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-7,text,true,,43948,193,8,8,21418,0,1
1530499989869,21437,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-6,text,true,,43957,193,8,8,21423,0,2
1530499989861,21561,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-5,text,true,,43951,193,8,8,21546,0,1
1530499989870,22523,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-8,text,true,,43969,193,8,8,22506,0,2
1530499993899,50125,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-3,text,true,,43955,193,16,16,50110,0,1
1530499994026,50032,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-2,text,true,,43955,193,16,16,49985,0,1
1530499993449,50627,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-1,text,true,,43954,193,16,16,50560,0,1
