timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1530293364006,73571,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-23,text,true,,43905,350,350,73532,0
1530293364014,93997,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-25,text,true,,43917,400,400,93996,0
1530293364009,94072,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-1,text,true,,43914,400,400,94031,0
1530293364007,98293,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-21,text,true,,43915,450,450,98263,0
1530293363999,98317,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-30,text,true,,43906,450,450,98268,0
1530293364014,98354,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-38,text,true,,43904,450,450,98273,0
1530293364007,98398,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-43,text,true,,43905,450,450,98357,0
1530293364015,99017,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-45,text,true,,43914,450,450,98993,0
1530293364008,104666,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-39,text,true,,43908,450,450,104662,0
1530293364006,104779,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-3,text,true,,43910,450,450,104778,0
1530293364004,111242,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-24,text,true,,43908,500,500,111052,0
1530293364004,111285,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-8,text,true,,43915,500,500,111273,0
1530293364007,111847,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-9,text,true,,43911,500,500,111257,0
1530293364006,112036,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-18,text,true,,43914,500,500,112029,0
1530293364003,112515,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-27,text,true,,43908,500,500,112317,0
1530293364016,112578,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-10,text,true,,43913,500,500,112575,0
1530293364014,113051,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-5,text,true,,43907,500,500,112671,0
1530293364003,113081,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-33,text,true,,43908,500,500,112912,0
1530293364000,113303,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-13,text,true,,43909,500,500,113302,0
1530293364013,113503,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-40,text,true,,43909,500,500,113502,0
1530293364009,113729,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-16,text,true,,43915,500,500,113716,0
1530293364016,114126,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-17,text,true,,43904,500,500,114011,0
1530293364013,114592,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-50,text,true,,43903,500,500,114534,0
1530293364013,114779,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-34,text,true,,43920,500,500,114773,0
1530293364008,114861,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-15,text,true,,43914,500,500,114855,0
1530293364002,115099,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-47,text,true,,43909,500,500,115066,0
1530293364016,115097,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-46,text,true,,43905,500,500,115094,0
1530293364001,115668,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-41,text,true,,43913,500,500,115666,0
1530293364002,119446,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-19,text,true,,43911,500,500,119445,0
1530293364015,132908,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-48,text,true,,43907,500,500,132907,0
1530293364002,135393,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-4,text,true,,43908,500,500,135390,0
1530293364013,149547,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-22,text,true,,43909,500,500,149544,0
1530293364004,159628,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-11,text,true,,43910,500,500,159600,0
1530293363999,164745,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-31,text,true,,43911,500,500,164744,0
1530293364012,164957,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-35,text,true,,43917,500,500,164956,0
1530293364001,181342,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-49,text,true,,43914,500,500,181323,0
1530293364001,183815,obtenerEncuesta,200,OK,bzm - Concurrency Thread Group 1-26,text,true,,43909,500,500,183813,0
